id_leggo,id_principal,casa,id_autor.x,id_autor.y,peso_arestas,num_coautorias,nome.x,partido.x,uf.x,casa_autor.x,bancada.x,nome.y,partido.y,uf.y,casa_autor.y,bancada.y
01c3291306586541b3164eaede8d2af1,2259684,camara,160535,160610,0.125,1,Dep. Marcon,PT,RS,camara,oposição,Dep. Valmir Assunção,PT,BA,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,160535,178970,0.125,1,Dep. Marcon,PT,RS,camara,oposição,Dep. João Daniel,PT,SE,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,160535,178986,0.125,1,Dep. Marcon,PT,RS,camara,oposição,Dep. Nilto Tatto,PT,SP,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,160535,204370,0.125,1,Dep. Marcon,PT,RS,camara,oposição,Dep. Célio Moura,PT,TO,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,160535,204393,0.125,1,Dep. Marcon,PT,RS,camara,oposição,Dep. Frei Anastacio Ribeiro,PT,PB,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,160535,204495,0.125,1,Dep. Marcon,PT,RS,camara,oposição,Dep. Airton Faleiro,PT,PA,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,160610,178970,0.125,1,Dep. Valmir Assunção,PT,BA,camara,oposição,Dep. João Daniel,PT,SE,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,160610,178986,0.125,1,Dep. Valmir Assunção,PT,BA,camara,oposição,Dep. Nilto Tatto,PT,SP,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,160610,204370,0.125,1,Dep. Valmir Assunção,PT,BA,camara,oposição,Dep. Célio Moura,PT,TO,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,160610,204393,0.125,1,Dep. Valmir Assunção,PT,BA,camara,oposição,Dep. Frei Anastacio Ribeiro,PT,PB,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,160610,204495,0.125,1,Dep. Valmir Assunção,PT,BA,camara,oposição,Dep. Airton Faleiro,PT,PA,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,178970,178986,0.125,1,Dep. João Daniel,PT,SE,camara,oposição,Dep. Nilto Tatto,PT,SP,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,178970,204370,0.125,1,Dep. João Daniel,PT,SE,camara,oposição,Dep. Célio Moura,PT,TO,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,178970,204393,0.125,1,Dep. João Daniel,PT,SE,camara,oposição,Dep. Frei Anastacio Ribeiro,PT,PB,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,178970,204495,0.125,1,Dep. João Daniel,PT,SE,camara,oposição,Dep. Airton Faleiro,PT,PA,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,178986,204370,0.125,1,Dep. Nilto Tatto,PT,SP,camara,oposição,Dep. Célio Moura,PT,TO,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,178986,204393,0.125,1,Dep. Nilto Tatto,PT,SP,camara,oposição,Dep. Frei Anastacio Ribeiro,PT,PB,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,178986,204495,0.125,1,Dep. Nilto Tatto,PT,SP,camara,oposição,Dep. Airton Faleiro,PT,PA,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,204370,204393,0.125,1,Dep. Célio Moura,PT,TO,camara,oposição,Dep. Frei Anastacio Ribeiro,PT,PB,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,204370,204495,0.125,1,Dep. Célio Moura,PT,TO,camara,oposição,Dep. Airton Faleiro,PT,PA,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,204393,204495,0.125,1,Dep. Frei Anastacio Ribeiro,PT,PB,camara,oposição,Dep. Airton Faleiro,PT,PA,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,74160,160535,0.125,1,Dep. Patrus Ananias,PT,MG,camara,oposição,Dep. Marcon,PT,RS,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,74160,160610,0.125,1,Dep. Patrus Ananias,PT,MG,camara,oposição,Dep. Valmir Assunção,PT,BA,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,74160,178970,0.125,1,Dep. Patrus Ananias,PT,MG,camara,oposição,Dep. João Daniel,PT,SE,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,74160,178986,0.125,1,Dep. Patrus Ananias,PT,MG,camara,oposição,Dep. Nilto Tatto,PT,SP,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,74160,204370,0.125,1,Dep. Patrus Ananias,PT,MG,camara,oposição,Dep. Célio Moura,PT,TO,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,74160,204393,0.125,1,Dep. Patrus Ananias,PT,MG,camara,oposição,Dep. Frei Anastacio Ribeiro,PT,PB,camara,oposição
01c3291306586541b3164eaede8d2af1,2259684,camara,74160,204495,0.125,1,Dep. Patrus Ananias,PT,MG,camara,oposição,Dep. Airton Faleiro,PT,PA,camara,oposição
01ea98edfa16ee97ada6ca6056a75f0a,2236958,camara,204488,204488,1,1,Dep. Célio Studart,PV,CE,camara,governo,Dep. Célio Studart,PV,CE,camara,governo
04c04c3ee0b61e9f7a4564025c3f0b85,2236840,camara,204530,204530,1,1,Dep. Rodrigo Agostinho,PSB,SP,camara,oposição,Dep. Rodrigo Agostinho,PSB,SP,camara,oposição
1936af28823a0817e771380dfacce78d,2204564,camara,160575,160575,1,1,Dep. Erika Kokay,PT,DF,camara,oposição,Dep. Erika Kokay,PT,DF,camara,oposição
1a1991f77234dbae849873b31df0919d,2206105,camara,141470,141470,1,1,Dep. José Guimarães,PT,CE,camara,oposição,Dep. José Guimarães,PT,CE,camara,oposição
1dbe81661ce54b39de6507dabaa33349,2192263,camara,204472,204472,1,1,Dep. José Medeiros,PODE,MT,camara,governo,Dep. José Medeiros,PODE,MT,camara,governo
20aaae99e85511347544d52ca26928d6,2200572,camara,160511,160511,1,1,Dep. Alessandro Molon,PSB,RJ,camara,oposição,Dep. Alessandro Molon,PSB,RJ,camara,oposição
20aaae99e85511347544d52ca26928d6,2200572,camara,204483,204483,1,1,Dep. Vilson Da Fetaemg,PSB,MG,camara,oposição,Dep. Vilson Da Fetaemg,PSB,MG,camara,oposição
20aaae99e85511347544d52ca26928d6,2200572,camara,204495,204495,2,2,Dep. Airton Faleiro,PT,PA,camara,oposição,Dep. Airton Faleiro,PT,PA,camara,oposição
22aa18f33a3fff84340a32a1ad07b221,2205754,camara,74848,74848,1,1,Dep. Jandira Feghali,PCdoB,RJ,camara,oposição,Dep. Jandira Feghali,PCdoB,RJ,camara,oposição
234f33c2f5d2cd76d8dec24b3572a36d,2198142,camara,178986,178986,1,1,Dep. Nilto Tatto,PT,SP,camara,oposição,Dep. Nilto Tatto,PT,SP,camara,oposição
274a7798ff43d2699b1b9c5d3b34ee9d,2250646,camara,160511,160511,1,1,Dep. Alessandro Molon,PSB,RJ,camara,oposição,Dep. Alessandro Molon,PSB,RJ,camara,oposição
287f4852b0ce051c6783429ed4060dd8,2241699,camara,204495,204555,0.5,1,Dep. Airton Faleiro,PT,PA,camara,oposição,Dep. José Ricardo,PT,AM,camara,oposição
28a9ff8ecab1eed465c1d2355925ece4,2236761,camara,204407,204407,1,1,Dep. Fernanda Melchionna,PSOL,RS,camara,oposição,Dep. Fernanda Melchionna,PSOL,RS,camara,oposição
28a9ff8ecab1eed465c1d2355925ece4,2236761,camara,204488,204488,1,1,Dep. Célio Studart,PV,CE,camara,governo,Dep. Célio Studart,PV,CE,camara,governo
28a9ff8ecab1eed465c1d2355925ece4,2236761,camara,204530,204530,1,1,Dep. Rodrigo Agostinho,PSB,SP,camara,oposição,Dep. Rodrigo Agostinho,PSB,SP,camara,oposição
28a9ff8ecab1eed465c1d2355925ece4,2236761,camara,204534,204534,1,1,Dep. Tabata Amaral,PDT,SP,camara,oposição,Dep. Tabata Amaral,PDT,SP,camara,oposição
28a9ff8ecab1eed465c1d2355925ece4,2236761,camara,74848,74848,1,1,Dep. Jandira Feghali,PCdoB,RJ,camara,oposição,Dep. Jandira Feghali,PCdoB,RJ,camara,oposição
