casa,id_ext,fase_global,local,data_inicio,data_fim,local_casa,pulou
camara,2192263,Pré-Construção,,NA,NA,camara,FALSE
camara,2192263,Construção,Comissões,NA,NA,camara,FALSE
camara,2192263,Construção,Plenário,NA,NA,camara,FALSE
camara,2192263,Pré-Revisão I,,NA,NA,camara,FALSE
camara,2192263,Revisão I,Comissões,NA,NA,camara,FALSE
camara,2192263,Revisão I,Plenário,NA,NA,camara,FALSE
camara,2192263,Pré-Revisão II,,NA,NA,camara,FALSE
camara,2192263,Revisão II,Comissões,NA,NA,camara,FALSE
camara,2192263,Revisão II,Plenário,NA,NA,camara,FALSE
camara,2192263,Sanção/Veto,Presidência da República,NA,NA,presidência da república,FALSE
camara,2192263,Avaliação dos Vetos,Congresso,NA,NA,congresso,FALSE
camara,2206105,Pré-Construção,,NA,NA,camara,FALSE
camara,2206105,Construção,Comissões,NA,NA,camara,FALSE
camara,2206105,Construção,Plenário,NA,NA,camara,FALSE
camara,2206105,Pré-Revisão I,,NA,NA,camara,FALSE
camara,2206105,Revisão I,Comissões,NA,NA,camara,FALSE
camara,2206105,Revisão I,Plenário,NA,NA,camara,FALSE
camara,2206105,Pré-Revisão II,,NA,NA,camara,FALSE
camara,2206105,Revisão II,Comissões,NA,NA,camara,FALSE
camara,2206105,Revisão II,Plenário,NA,NA,camara,FALSE
camara,2206105,Sanção/Veto,Presidência da República,NA,NA,presidência da república,FALSE
camara,2206105,Avaliação dos Vetos,Congresso,NA,NA,congresso,FALSE
camara,2194820,Pré-Construção,,NA,NA,camara,FALSE
camara,2194820,Construção,Comissões,NA,NA,camara,FALSE
camara,2194820,Construção,Plenário,NA,NA,camara,FALSE
camara,2194820,Pré-Revisão I,,NA,NA,camara,FALSE
camara,2194820,Revisão I,Comissões,NA,NA,camara,FALSE
camara,2194820,Revisão I,Plenário,NA,NA,camara,FALSE
camara,2194820,Pré-Revisão II,,NA,NA,camara,FALSE
camara,2194820,Revisão II,Comissões,NA,NA,camara,FALSE
camara,2194820,Revisão II,Plenário,NA,NA,camara,FALSE
camara,2194820,Sanção/Veto,Presidência da República,NA,NA,presidência da república,FALSE
camara,2194820,Avaliação dos Vetos,Congresso,NA,NA,congresso,FALSE
camara,2218177,Pré-Construção,,NA,NA,camara,FALSE
camara,2218177,Construção,Comissões,NA,NA,camara,FALSE
camara,2218177,Construção,Plenário,NA,NA,camara,FALSE
camara,2218177,Pré-Revisão I,,NA,NA,camara,FALSE
camara,2218177,Revisão I,Comissões,NA,NA,camara,FALSE
