proposicao,id_camara,id_senado,apelido,tema,prioridade,advocacy_link,keywords,tipo_agenda,explicacao_projeto,situacao,norma_atacada
PDL 378/2019,2206105,,,Meio Ambiente,,,,,,Tramitando em Conjunto - Apensado ao PDL 340/2019,"Decreto nº 9.806, de 28 de maio de 2019,  que altera o Decreto nº 99.274, de 6 de junho de 1990"
PDL 596/2019,2218177,,,Meio Ambiente,,,,,,Retirado pelo Autor,"Decreto nº 9.760, de 11 de abril de 2019 que altera o Decreto nº 6.514, de 22 de julho de 2008"
PDL 719/2019,2231711,,,Amazônia,,,,,,Aguardando Designação de Relator,"Decreto n° 10.140, de 28 de novembro de 2019"
PDL 229/2019,2200572,,,Meio Ambiente,,,,,,Aguardando Parecer do Relator na Comissão de Constituição e Justiça e de Cidadania (CCJC),"Decreto n° 9.784, de 07 de maio de 2019"
PDL 114/2019,2197956,,,Meio Ambiente,,,,,,Pronta para Pauta,"Decreto nº 9.760, de 11 de abril de 2019 que altera o Decreto nº 6.514, de 22 de julho de 2008"
PDL 423/2020,2263650,,,Mineração/Indígena,,,,,,Aguardando Autorização Devolução,"Portaria no 354, de 29 de setembro de 2020 do Ministério de Minas e Energia"
PDL 432/2020,2263735,,,Meio Ambiente,,,,,,Aguardando Despacho do Presidente da Câmara dos Deputados,"Portaria nº 524, de 1º de outubro de 2020"
PDL 519/2020,2266103,,,Agropecuária,,,,,,Aguardando Despacho do Presidente da Câmara dos Deputados,"Portaria Conjunta nº 1, da Secretaria Especial de Assuntos Fundiários do Ministério da agricultura, Pecuária e Abastecimento e do Instituto Nacional de Colonização e Reforma Agrária (INCRA), de 2 de dezembro de 2020"
PDL 520/2020,2266108,,,Meio Ambiente,,,,,,Aguardando Despacho do Presidente da Câmara dos Deputados. Será apensado ao PDL 519/2020,"Portaria Conjunta nº 1, da Secretaria Especial de Assuntos Fundiários do Ministério da agricultura, Pecuária e Abastecimento e do Instituto Nacional de Colonização e Reforma Agrária (INCRA), de 2 de dezembro de 2020"
PDL 356/2020,2259427,,,Meio Ambiente,,,,,,Aguardando Autorização Devolução,"Portaria nº 341, de 30 de julho de 2020, do Ministro de Estado do Meio ambiente"
PDL 439/2020,2263777,,,Meio Ambiente,,,,,,Aguardando Despacho do Presidente da Câmara dos Deputados. Será apensado ao PDL 414/2020,"Decisões da Reunião Ordinária n° 135 do Conselho Nacional do Meio Ambiente (conama), que alterou a Resolução conama n.º 264/1999, e revogou as Resoluções conama n.ºs 284/2001, 302/2002 e 303/2002."
PDL 32/2020,2236840,,,Meio Ambiente,,,,,,Tramitando em Conjunto - Apensado ao PDL 28/2020,"Decreto n.º 10.224, de 5 de fevereiro de 2020"
PDL 28/2020,2236761,,,Meio Ambiente,,,,,,Aguardando Designação de Relator,"Decreto nº 10.224, de 05 de fevereiro de 2020"
PDL 359/2020,2259673,,,Meio Ambiente,,,,,,Aguardando Autorização Devolução,"Decreto nº 10.142, de 28 de novembro de 2019"
PDL 360/2020,2259680,,,Meio Ambiente,,,,,,Aguardando Autorização Devolução,"Portaria 341, de 30 de julho de 2020 – do Ministério do Meio ambiente"
